fldVendorNo,fldInvoiceDate,fldInvoiceAmount,fldVendorName,fldTransactions,RollingMean,RollingStd,Deviation,Anomaly_SVM,Anomaly_SVM_Label,Currency_Anomaly,Vendor_Name_Anomaly,Currency Anomaly
100730,2024-07-09,8718.91,INNOCENT LIMITED,GBP,8089.174999999999,890.5797777010215,629.7350000000006,1,Normal,Currency Anomaly,Normal,
100730,2024-07-18,181.51,INNOCENT LIMITED,GBP,5453.286666666666,4608.718703461227,-5271.776666666666,1,Normal,Currency Anomaly,Normal,
100730,2024-07-18,214.99,INNOCENT LIMITED,GBP,3038.4699999999993,4919.433826447918,-2823.4799999999996,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,2589.44,LIL LETS UK LIMITED,GBP,6162.72,5053.381038156533,-3573.28,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,2707.2,LIL LETS UK LIMITED,GBP,5010.88,4092.497540035913,-2303.6800000000003,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,1266.62,LIL LETS UK LIMITED,GBP,2187.7533333333336,799.8948791768412,-921.1333333333337,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,1639.04,LIL LETS UK LIMITED,GBP,1870.9533333333331,747.7670290493782,-231.91333333333318,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,3463.2,LIL LETS UK LIMITED,GBP,2122.9533333333334,1175.5296719918783,1340.2466666666664,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,13308.98,LIL LETS UK LIMITED,GBP,6137.073333333334,6277.664681466615,7171.906666666666,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,3582.28,LIL LETS UK LIMITED,GBP,6784.82,5650.4020025835325,-3202.5399999999995,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,1213.85,LIL LETS UK LIMITED,GBP,6035.036666666667,6409.7623886251295,-4821.1866666666665,1,Normal,Currency Anomaly,Normal,
109029,2024-07-09,2337.28,LIL LETS UK LIMITED,GBP,2377.8033333333333,1184.7348950855353,-40.523333333333085,1,Normal,Currency Anomaly,Normal,
