InvoiceDetails_ID,UploadedDate,FileID,Batch_Seq,OrganisationLevelId,UserId,IsDuplicate,DupStatus_Update,DupStatus_Remarks,ActionTaken,RootCause,ExcelRowNo,fldInvoiceNo,fldInvoiceDate,fldInvoiceAmount,fldPO_VocherNo,fldVendorNo,fldDueDate,fldPaymentDate,fldDocumentNo,fldUnit,fldAuthorizedBy,fldVendorName,fldRemittance,fldCloseStatus,fldImageFileNo,fldChequeNo,fldTransactions,fldBatchNo,fldGoodsAmountBase,fldVATTotalBase,fldTransTotalBase,fldOutstandingBase,DupRules,CreatedOn,ModifiedOn,IsCompleted,IsYank,YankUser,ManuallyMovedToHist,WithinFileDuplicate,InvoiceDetails_Temp_ID,AuditedBy,AuditedOn
16673151,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,1,B240530683-24,7/17/2024,21.84,4203616232,700006,NULL,7/18/2024,5109268084,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704150,NULL,NULL
16673152,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,2,B240530686-24,7/17/2024,91.4,4203617118,700006,NULL,7/18/2024,5109268085,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704151,NULL,NULL
16673153,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,3,B240530687-24,7/17/2024,189.12,4203609591,700006,NULL,7/18/2024,5109268086,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704152,NULL,NULL
16673154,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,4,B240530697-24,7/17/2024,196.06,4203617656,700006,NULL,7/18/2024,5109268087,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704153,NULL,NULL
16673155,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,5,B240530698-24,7/17/2024,102.97,4203617639,700006,NULL,7/18/2024,5109268088,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704154,NULL,NULL
16673156,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,6,B240530955-24,7/17/2024,90,4203617464,700006,NULL,7/18/2024,5109268089,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704155,NULL,NULL
16673157,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,7,B240530701-24,7/17/2024,99.9,4203612354,700006,NULL,7/18/2024,5109268090,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704156,NULL,NULL
16673158,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,8,B240530685-24,7/17/2024,7.22,4203614009,700006,NULL,7/18/2024,5109268091,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704157,NULL,NULL
16673159,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,9,B240530693-24,7/17/2024,99.36,4203615898,700006,NULL,7/18/2024,5109268092,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704158,NULL,NULL
16673160,00:00.0,11741,10081,2,42,N,NULL,NULL,NULL,NULL,10,B240530694-24,7/17/2024,180,4203615903,700006,NULL,7/18/2024,5109268093,P1A-9224,VH,BUNZL RETAIL AND HEALTHCARE SU,NULL,GB,NULL,P1A-900,GBP,NULL,NULL,NULL,NULL,NULL,Rule-1Rule-2Rule-3Rule-4Rule-5Rule-6,48:10.8,48:10.8,NULL,NULL,NULL,NULL,NULL,22704159,NULL,NULL
