Internal Reference,Invoice Number,Supplier Name,Supplier Reference,Invoice Date,Posting Date,Due Date,Payment Date,Gross Amount,VAT Amount,Currency Code,Debit/Credit
930380396,IN936392,Global Tech Solutions,V_GL001,2024-07-13,2024-07-27,2024-08-23,2024-09-08,1606.12,321.22,EUR,Dr
578983304,IN763468,Eco Electronics,V_EC001,2024-08-12,2024-08-16,2024-09-03,2024-09-10,139.07,27.81,JPY,Dr
618862579,IN505158,Velocity Ventures,V_VE001,2024-06-14,2024-06-21,2024-06-30,,3096.84,619.37,USD,Dr
364353921,IN301971,Eco Electronics,V_EC001,2024-07-26,2024-07-26,2024-09-04,2024-09-09,2205.86,441.17,JPY,Dr
253671350,IN113500,Blue Banana Inc.,V_BL001,2024-10-16,2024-10-26,2024-11-13,2024-12-04,4093.04,818.61,USD,Dr
876947579,IN720527,QuickFix Mechanics,V_QU001,2024-07-13,2024-07-22,2024-08-23,2024-09-21,6666.36,1333.27,CAD,Dr
354122267,IN291374,Velocity Ventures,V_VE001,2024-06-07,2024-06-17,2024-07-01,2024-07-01,4534.74,906.95,USD,Dr
640883400,IN328967,Purple Plumbers Limited,V_PU001,2024-01-06,2024-01-14,2024-03-02,,2887.15,577.43,USD,Dr
792177121,IN734573,Global Tech Solutions,V_GL001,2024-05-05,2024-05-10,2024-07-01,2024-07-24,9845.59,1969.12,EUR,Dr
484853187,IN756362,Blue Banana Inc.,V_BL001,2024-08-22,2024-08-25,2024-10-08,2024-10-10,1505.95,301.19,USD,Dr
122512528,IN866233,Sunny Solutions Ltd.,V_SU001,2024-06-26,2024-07-06,2024-07-29,2024-08-11,-4494.85,-898.97,AUD,Cr
355283298,IN773702,Blue Banana Inc.,V_BL001,2023-12-19,2023-12-20,2024-01-26,2024-01-27,3990.62,798.12,USD,Dr
996096193,IN336712,QuickFix Mechanics,V_QU001,2024-06-02,2024-06-13,2024-07-14,2024-08-01,2062.73,412.55,CAD,Dr
515136188,IN908053,QuickFix Mechanics,V_QU001,2024-11-18,2024-11-24,2024-12-31,2025-01-11,7738.09,1547.62,CAD,Dr
914331951,IN271169,Blue Banana Inc.,V_BL001,2024-07-11,2024-07-16,2024-08-11,,3894.97,778.99,USD,Dr
773229775,IN367122,Artic Apples Co.,V_AR001,2024-03-08,2024-03-19,2024-05-03,,8529.23,1705.85,GBP,Dr
789527042,IN396964,Global Tech Solutions,V_GL001,2024-07-25,2024-07-31,2024-08-26,2024-09-12,7905.0,1581.0,EUR,Dr
390462537,IN524437,Eco Electronics,V_EC001,2024-08-01,2024-08-12,2024-09-26,2024-09-29,6627.23,1325.45,JPY,Dr
630186573,IN737766,QuickFix Mechanics,V_QU001,2024-10-28,2024-11-02,2024-12-18,2024-12-28,5214.99,1043.0,CAD,Dr
992594035,IN181875,Sunny Solutions Ltd._V,V_SU001,2024-04-23,2024-04-24,2024-05-23,2024-06-14,4826.11,965.22,AUD,Dr
301611072,IN434794,Purple Plumbers Limited,V_PU001,2024-08-31,2024-09-14,2024-10-19,,512.84,102.57,USD,Dr
