Status,Vendor No.,Vendor,System,Division,Total Spend,Invoices,Open Balance,Avg Day to Pay,% Late,Avg Days Paid Late,Avg Invoice Value,Added On,Vendor Group,Telephone,Tax ID,Email
Active,1000000001,"Rodriguez, Figueroa and Sanchez","SAP-P49, SAP-P49-WF","Marelli Germany, Marelli PWT Slovakia",1002483.57,347,232570.12,79.0,59.87,2.0,3308.53,2023-05-04,,(518)519-6001,2136505588,hoffmanjennifer@example.net
Active,1000000002,"Barnes, Cole and Ramirez","SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Italy, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Japan",0.0,0,-0.0,,,,0.0,2022-07-13,,3268542351,6322879265,howardmaurice@example.com
Inactive,1000000003,Blair PLC,SAP-P49-WF,"Marelli Poland, Marelli PWT Slovakia",999308.68,48,-343767.66,58.0,5.81,3.0,5431.03,2022-11-25,,361-284-9593,4592983558,kendragalloway@example.org
Inactive,1000000004,James Group,"SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli Italy, Marelli Poland, Marelli EPT Cologne",1001395.21,317,208362.88,56.0,2.06,18.0,10115.1,2024-12-02,,+1-952-855-3419x2832,2298737110,veronica83@example.net
Inactive,1000000005,Cameron-Parsons,SAP-P49,,1005052.58,444,472284.11,22.0,83.24,12.0,7028.34,2023-07-07,,505.964.1395,3566942278,pwilkerson@example.com
Active,1000000006,Baker and Sons,"SAP-P49, SAP-P49-WF","Marelli Japan, Marelli PWT Slovakia, Marelli Germany, Marelli Poland, Marelli Italy, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2023-02-06,,001-388-249-6965x3287,7454384377,hernandezernest@example.net
Active,1000000007,Carlson-Cruz,"SAP-P49, SAP-P49-WF",Marelli Germany,997682.91,421,-195304.17,14.0,52.48,25.0,6158.54,2023-03-22,,+1-878-448-0184x514,3149938341,usmith@example.net
Inactive,1000000008,Stanton-Gill,SAP-P49,"Marelli Japan, Marelli EPT Cologne, Marelli Germany, Marelli Italy",0.0,0,-0.0,,,,0.0,2022-05-10,,914.289.3252x88095,4314889840,hickmannatasha@example.com
Inactive,1000000009,Brown PLC,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Italy",997671.35,253,-208284.71,21.0,61.19,24.0,39906.85,2021-08-02,,417-618-2278,6951415784,ibrandt@example.net
Inactive,1000000010,"Harris, Collins and Carney","SAP-P49, SAP-P49-WF","Marelli Italy, Marelli EPT Cologne, Marelli Poland, Marelli Japan",0.0,0,-0.0,,,,0.0,2021-01-13,,+1-557-587-1331x5098,6786963285,jonescrystal@example.org
Inactive,1000000011,Whitehead LLC,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Germany, Marelli Japan",995459.88,2,-43730.57,43.0,78.52,16.0,2545.93,2021-12-21,,983-547-3829,8475443495,maguirre@example.org
Inactive,1000000012,Hopkins LLC,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Poland",0.0,0,-0.0,,,,0.0,2021-11-16,,(467)801-0651x33387,8611582574,joshuawright@example.org
Active,1000000013,Morton-Chase,"SAP-P49, SAP-P49-WF",Marelli PWT Slovakia,992938.48,476,14133.92,56.0,59.24,28.0,2330.84,2022-09-11,,908-501-3267,3028439876,kbarrera@example.com
Active,1000000014,Galloway LLC,SAP-P49,,0.0,0,-0.0,,,,0.0,2021-05-11,,246.787.2343x098,8582922868,williamsthomas@example.net
Inactive,1000000015,Brown PLC,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli EPT Cologne, Marelli Germany, Marelli Poland, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2022-09-20,,521-291-3619,8008626185,barnesbrandy@example.net
Inactive,1000000016,Donovan-Harris,SAP-P49-WF,,996998.73,232,-401120.39,25.0,68.42,7.0,8594.82,2021-05-01,,001-353-346-2475x107,3452066475,williamanderson@example.com
Active,1000000017,Suarez LLC,"SAP-P49, SAP-P49-WF",Marelli Japan,1004737.2,324,-60131.02,17.0,12.2,7.0,28706.78,2021-02-23,,327-384-9808x4124,5692105938,josephjacobs@example.net
Active,1000000018,Harris-Walters,SAP-P49-WF,"Marelli Italy, Marelli Germany",0.0,0,-0.0,,,,0.0,2024-03-04,,687-440-1640x052,4474810197,barnold@example.net
Inactive,1000000019,Rodriguez Ltd,SAP-P49-WF,Marelli Japan,0.0,0,-0.0,,,,0.0,2022-12-16,,(280)659-8262,3819256356,rachel05@example.org
