Internal Reference,Payment Date,Invoice Number,Posting Date,Supplier Name,Supplier Reference,Gross Amount,Invoice Date,Currency Code,VAT Amount,Due Date,Debit/Credit,Is Anomaly
10089401,,IN10495,2022-06-19,Orange Office Supplies,V_ORANGE001,5479.29,2022-06-17,CAD,748.04,2022-07-17,Dr,False
10075629,2022-03-05,IN19967,2022-02-25,Green Grocers Co.,V_GREEN001,7052.75,2022-02-22,GBP,403.1,2022-03-24,,False
10051002,2022-05-25,IN80658,2022-05-23,Purple Plumbers Limited,V_PURPLE001,5973.91,2022-05-22,USD,446.59,2022-06-21,,False
10086154,2023-12-19,IN17373,2023-12-15,Red Roofing Solutions,V_RED001,5080.31,2023-12-12,EUR,645.74,2024-01-11,Cr,False
10090072,2022-10-23,IN13558,2022-10-15,Yellow Yard Services,V_YELLOW001,5229.65,2022-10-11,USD,652.72,2022-11-10,Dr,False
10060830,2022-12-17,IN27127,2022-12-15,Red Roofing Solutions,V_RED001,5137.75,2022-12-11,GBP,634.46,2023-01-10,Dr,False
10044550,2023-07-22,IN63693,2023-07-14,Orange Office Supplies,V_ORANGE001,7622.86,2023-07-12,USD,441.39,2023-08-11,Dr,False
10092987,2022-03-08,IN59178,2022-03-01,Yellow Yard Services,V_YELLOW001,4049.78,2022-02-27,EUR,599.66,2022-03-29,,False
10014027,,IN15745,2023-12-01,Orange Office Supplies,V_ORANGE001,5370.55,2023-11-29,CAD,759.7,2023-12-29,Dr,False
10098652,,IN66985,2022-09-03,Blue Builders Inc.,V_BLUE001,20312.51,2022-08-30,EUR,1609.76,2022-09-29,,True
10077650,2023-01-30,IN66516,2023-01-29,Red Roofing Solutions,V_RED001,3611.53,2023-01-28,EUR,466.34,2023-02-27,Cr,False
10029282,2023-06-04,IN33930,2023-06-01,Green Grocers Co.,V_GREEN001,22896.52,2023-05-28,EUR,2248.65,2023-06-27,,True
10018222,2022-12-19,IN34074,2022-12-14,Green Grocers Co.,V_GREEN001,5572.04,2022-12-13,GBP,484.87,2023-01-12,Cr,False
10052145,2022-03-19,IN73688,2022-03-10,Purple Plumbers Limited,V_PURPLE001,6607.8,2022-03-09,EUR,304.73,2022-04-08,Dr,False
10034240,2023-06-28,IN97381,2023-06-23,Yellow Yard Services,V_YELLOW001,5292.62,2023-06-21,USD,580.62,2023-07-21,,False
10045814,2023-02-15,IN69694,2023-02-09,Red Roofing Solutions,V_RED001,5391.24,2023-02-08,USD,572.11,2023-03-10,Dr,False
10064040,2024-01-08,IN85357,2024-01-03,Purple Plumbers Limited,V_PURPLE001,3736.4,2023-12-30,USD,561.57,2024-01-29,Cr,False
10092494,,IN88170,2022-05-29,Blue Builders Inc.,V_BLUE001,2630.85,2022-05-26,CAD,377.32,2022-06-25,Cr,False
10097122,2023-05-01,IN80880,2023-04-26,Blue Builders Inc.,V_BLUE001,6430.1,2023-04-25,CAD,623.93,2023-05-25,Cr,False
10076960,2023-04-18,IN29552,2023-04-13,Red Roofing Solutions,V_RED001,5104.62,2023-04-09,USD,404.04,2023-05-09,,False
10066116,2023-05-16,IN23161,2023-05-12,Yellow Yard Services,V_YELLOW001,4417.48,2023-05-11,USD,454.16,2023-06-10,Dr,False
10091437,2023-04-01,IN82982,2023-03-24,Blue Builders Inc.,V_BLUE001,27917.33,2023-03-22,CAD,1846.61,2023-04-21,Cr,True
10037230,2022-07-11,IN19076,2022-07-02,Purple Plumbers Limited,V_PURPLE001,6032.4,2022-06-28,EUR,346.78,2022-07-28,,False
10078546,2022-12-12,IN81091,2022-12-03,Purple Plumbers Limited,V_PURPLE001,5344.46,2022-11-30,CAD,361.71,2022-12-30,,False
10094530,2023-05-22,IN33284,2023-05-16,Purple Plumbers Limited,V_PURPLE001,6076.99,2023-05-15,GBP,751.33,2023-06-14,Dr,False
10028351,2023-06-01,IN79624,2023-05-26,Orange Office Supplies,V_ORANGE001,4925.93,2023-05-22,GBP,454.56,2023-06-21,,False
10071120,2023-02-09,IN29250,2023-02-07,Yellow Yard Services,V_YELLOW001,27019.49,2023-02-05,USD,1752.25,2023-03-07,,True
10057653,,IN26740,2022-05-16,Purple Plumbers Limited,V_PURPLE001,2997.52,2022-05-12,CAD,630.42,2022-06-11,Cr,False
10091301,2022-04-13,IN41127,2022-04-07,Green Grocers Co.,V_GREEN001,5321.29,2022-04-05,USD,583.08,2022-05-05,,False
