Internal Reference,Invoice Number,Supplier Name,Supplier Reference,Invoice Date,Posting Date,Due Date,Payment Date,Gross Amount,VAT Amount,Gross Amount_standardized,VAT Amount_standardized,Currency Code_CAD,Currency Code_EUR,Currency Code_GBP,Currency Code_JPY,Currency Code_USD,Debit/Credit_Dr
930380396,IN936392,Global Tech Solutions,V_GL001,2024-07-13,2024-07-27,2024-08-23,2024-09-08,1606.12,321.22,-0.43000214069921344,-0.4300051571444201,False,True,False,False,False,True
578983304,IN763468,Eco Electronics,V_EC001,2024-08-12,2024-08-16,2024-09-03,2024-09-10,139.07,27.81,-0.6516561588082619,-0.651659184711555,False,False,False,True,False,True
618862579,IN505158,Velocity Ventures,V_VE001,2024-06-14,2024-06-21,2024-06-30,,3096.84,619.37,-0.20477186369739295,-0.20477033788419968,False,False,False,False,True,True
364353921,IN301971,Eco Electronics,V_EC001,2024-07-26,2024-07-26,2024-09-04,2024-09-09,2205.86,441.17,-0.33938847325725796,-0.33938997495336376,False,False,False,True,False,True
253671350,IN113500,Blue Banana Inc.,V_BL001,2024-10-16,2024-10-26,2024-11-13,2024-12-04,4093.04,818.61,-0.054257748404639455,-0.05425621616893449,False,False,False,False,True,True
876947579,IN720527,QuickFix Mechanics,V_QU001,2024-07-13,2024-07-22,2024-08-23,2024-09-21,6666.36,1333.27,0.3345406687456802,0.3345391958064639,True,False,False,False,False,True
354122267,IN291374,Velocity Ventures,V_VE001,2024-06-07,2024-06-17,2024-07-01,2024-07-01,4534.74,906.95,0.012477931905347697,0.012479466988697174,False,False,False,False,True,True
640883400,IN328967,Purple Plumbers Limited,V_PU001,2024-01-06,2024-01-14,2024-03-02,,2887.15,577.43,-0.23645355897518605,-0.23645354539643734,False,False,False,False,True,True
792177121,IN734573,Global Tech Solutions,V_GL001,2024-05-05,2024-05-10,2024-07-01,2024-07-24,9845.59,1969.12,0.8148849678444363,0.8148865371668903,False,True,False,False,False,True
484853187,IN756362,Blue Banana Inc.,V_BL001,2024-08-22,2024-08-25,2024-10-08,2024-10-10,1505.95,301.19,-0.4451366507663437,-0.44513664609220543,False,False,False,False,True,True
122512528,IN866233,Sunny Solutions Ltd.,V_SU001,2024-06-26,2024-07-06,2024-07-29,2024-08-11,-4494.85,-898.97,-1.3517870252380917,-1.351787059251173,False,False,False,False,False,False
355283298,IN773702,Blue Banana Inc.,V_BL001,2023-12-19,2023-12-20,2024-01-26,2024-01-27,3990.62,798.12,-0.06973220703572139,-0.06973520810803198,False,False,False,False,True,True
996096193,IN336712,QuickFix Mechanics,V_QU001,2024-06-02,2024-06-13,2024-07-14,2024-08-01,2062.73,412.55,-0.3610137345721062,-0.36101070454325984,True,False,False,False,False,True
515136188,IN908053,QuickFix Mechanics,V_QU001,2024-11-18,2024-11-24,2024-12-31,2025-01-11,7738.09,1547.62,0.49646647960966617,0.4964680353450459,True,False,False,False,False,True
914331951,IN271169,Blue Banana Inc.,V_BL001,2024-07-11,2024-07-16,2024-08-11,,3894.97,778.99,-0.0841837982099353,-0.0841867998989024,False,False,False,False,True,True
773229775,IN367122,Artic Apples Co.,V_AR001,2024-03-08,2024-03-19,2024-05-03,,8529.23,1705.85,0.6159984382251138,0.6160015099435523,False,False,True,False,False,True
789527042,IN396964,Global Tech Solutions,V_GL001,2024-07-25,2024-07-31,2024-08-26,2024-09-12,7905.0,1581.0,0.5216846195248573,0.5216846654537368,False,True,False,False,False,True
390462537,IN524437,Eco Electronics,V_EC001,2024-08-01,2024-08-12,2024-09-26,2024-09-29,6627.23,1325.45,0.3286285854979333,0.32863164495415836,False,False,False,True,False,True
630186573,IN737766,QuickFix Mechanics,V_QU001,2024-10-28,2024-11-02,2024-12-18,2024-12-28,5214.99,1043.0,0.1152557144067486,0.11525725387567681,True,False,False,False,False,True
992594035,IN181875,Sunny Solutions Ltd._V,V_SU001,2024-04-23,2024-04-24,2024-05-23,2024-06-14,4826.11,965.22,0.05650051549584115,0.05649903069251418,False,False,False,False,False,True
301611072,IN434794,Purple Plumbers Limited,V_PU001,2024-08-31,2024-09-14,2024-10-19,,512.84,102.57,-0.5951839033646035,-0.5951823942104849,False,False,False,False,True,True
355831891,IN775261,Artic Apples Co._K,V_AR001,2024-09-15,2024-09-18,2024-11-01,2024-11-15,2871.62,574.32,-0.23879995950770613,-0.23880296779422122,False,False,False,False,False,True
618216594,IN847832,Artic Apples Co.,V_AR001,2024-06-29,2024-07-05,2024-08-27,2024-09-19,8518.71,1703.74,0.6144089898283261,0.6144075288312295,False,False,True,False,False,True
879683120,IN838160,Artic Apples Co.,V_AR001,2024-05-02,2024-05-09,2024-05-29,2024-06-20,7626.77,1525.35,0.47964733554784195,0.4796443579178277,False,False,True,False,False,True
208758510,IN455133,QuickFix Mechanics,V_QU001,2024-09-30,2024-10-10,2024-11-01,2024-11-07,4851.14,970.23,0.06028225440949073,0.06028379153267417,True,False,False,False,False,True
706166006,IN323318,Velocity Ventures,V_VE001,2024-08-03,2024-08-03,2024-10-01,2024-10-07,4962.55,992.51,0.07711499641387304,0.07711502337274698,False,False,False,False,True,True
773701655,IN688837,QuickFix Mechanics,V_QU001,2024-01-28,2024-02-05,2024-02-24,,7761.0,1552.2,0.49992791143194776,0.4999279564324578,True,False,False,False,False,True
857417800,IN690182,Velocity Ventures,V_VE001,2024-01-13,2024-01-20,2024-02-19,2024-02-25,529.9,105.98,-0.5926063378085963,-0.5926063394270625,False,False,False,False,True,True
728863270,IN220123,Eco Electronics,V_EC001,2024-10-13,2024-10-23,2024-11-24,,2358.96,471.79,-0.31625686208347703,-0.31625836279254554,False,False,False,True,False,True
982657892,IN418073,Blue Banana Inc.,V_BL001,2024-11-28,2024-12-10,2025-01-14,2025-02-07,4830.48,966.1,0.05716077115116068,0.057163819023719926,False,False,False,False,True,True
449136259,IN159289,Velocity Ventures,V_VE001,2024-06-04,2024-06-12,2024-07-10,2024-07-21,1890.23,378.05,-0.3870764578084041,-0.38707342889166707,False,False,False,False,True,True
497504535,IN597877,Global Tech Solutions,V_GL001,2024-04-16,2024-04-23,2024-06-09,2024-07-05,5756.0,1151.2,0.19699596888831114,0.19699600096256548,True,False,False,False,False,True
118078615,IN823999,Artic Apples Co.,V_AR001,2024-09-29,2024-09-30,2024-11-06,,185.31,37.06,-0.6446698380984275,-0.64467135282104,False,False,True,False,False,True
818103878,IN473110,Artic Apples Co.,V_AR001,2024-08-29,2024-09-11,2024-10-24,2024-10-29,1393.32,278.66,-0.46215372043651315,-0.4621567382536435,False,False,True,False,False,True
514462541,IN727243,QuickFix Mechanics,V_QU001,2023-12-18,2023-12-20,2024-01-04,,1640.12,328.02,-0.42486514017727645,-0.4248681564032848,True,False,False,False,False,True
