Internal Reference,Invoice Number,Supplier Name,Supplier Reference,Invoice Date,Posting Date,Due Date,Payment Date,Gross Amount,VAT Amount,Currency Code,Debit/Credit
298865848,IN992898,Purple Plumbers Limited,V_PU001,2024-11-10,2024-11-14,2024-11-26,2024-12-14,4113.35,822.67,EUR,Dr
228551890,IN905889,Artic Apples Co.,V_AR001,2024-04-21,2024-04-25,2024-05-15,2024-05-17,2010.62,402.12,GBP,Dr
326484355,IN609346,Purple Plumbers Limited,V_PU001,2024-10-29,2024-11-01,2024-12-28,,3482.75,696.55,EUR,Dr
512436595,IN965279,Artic Apples Co.,V_AR001,2024-09-06,2024-09-18,2024-10-31,,4604.56,920.91,GBP,Dr
745099528,IN434219,Blue Banana Inc.,V_BL001,2024-05-27,2024-06-04,2024-07-15,2024-07-18,7024.52,1404.9,EUR,Dr
450575085,IN326272,Purple Plumbers Limited,V_PU001,2023-12-23,2024-01-02,2024-01-23,2024-02-17,3525.65,705.13,USD,Dr
341028638,IN493116,Blue Banana Inc.,V_BL001,2024-08-11,2024-08-14,2024-09-11,2024-09-13,6213.47,1242.69,USD,Dr
498473412,IN127738,Purple Plumbers Limited,V_PU001,2024-11-19,2024-11-27,2024-12-04,2024-12-26,643.19,128.64,USD,Dr
549400917,IN259596,Artic Apples Co.,V_AR001,2024-03-11,2024-03-12,2024-04-26,2024-05-25,3091.37,618.27,GBP,Dr
839753216,IN935866,Global Tech Solutions,V_GL001,2024-07-08,2024-07-13,2024-08-22,,7315.75,1463.15,GBP,Dr
901633702,IN858715,Blue Banana Inc.,V_BL001,2024-09-19,2024-10-02,2024-10-26,2024-11-16,4513.44,902.69,EUR,Dr
137075664,IN392367,Purple Plumbers Limited,V_PU001,2024-06-29,2024-07-01,2024-08-10,,6324.04,1264.81,USD,Dr
971783180,IN609626,Purple Plumbers Limited,V_PU001,2024-02-19,2024-02-29,2024-03-06,2024-03-28,9430.14,1886.03,EUR,Dr
315498409,IN831567,Artic Apples Co.,V_AR001,2024-07-08,2024-07-19,2024-08-19,2024-09-09,2225.39,445.08,EUR,Dr
529182204,IN252217,Purple Plumbers Limited,V_PU001,2024-11-16,2024-11-19,2024-12-06,2025-01-01,8081.36,1616.27,USD,Dr
302417402,IN591186,Artic Apples Co.,V_AR001,2024-11-25,2024-12-02,2024-12-21,2025-01-04,8652.19,1730.44,EUR,Dr
526186761,IN227661,Blue Banana Inc.,V_BL001,2024-11-20,2024-11-30,2025-01-06,2025-02-04,1322.73,264.55,USD,Dr
145537745,IN205380,Blue Banana Inc.,V_BL001,2024-07-21,2024-07-25,2024-08-15,2024-09-07,1217.46,243.49,USD,Dr
235672889,IN948024,Global Tech Solutions,V_GL001,2024-10-29,2024-11-03,2024-11-17,2024-12-13,911.53,182.31,EUR,Dr
274695040,IN620365,Global Tech Solutions,V_GL001,2024-11-07,2024-11-08,2024-12-15,2025-01-03,4788.97,957.79,GBP,Dr
356125619,IN454286,Blue Banana Inc.,V_BL001,2023-12-14,2023-12-20,2024-02-09,2024-03-08,8204.29,1640.86,GBP,Dr
824799383,IN811257,Blue Banana Inc.,V_BL001,2024-01-08,2024-01-23,2024-02-22,2024-02-24,8873.44,1774.69,USD,Dr
691497531,IN928622,Artic Apples Co.,V_AR001,2024-04-29,2024-05-05,2024-05-16,2024-05-30,982.3,196.46,EUR,Dr
187847100,IN620643,Purple Plumbers Limited,V_PU001,2024-09-03,2024-09-09,2024-10-01,2024-10-07,1344.69,268.94,USD,Dr
527060427,IN124321,Blue Banana Inc.,V_BL001,2024-02-21,2024-02-28,2024-04-11,2024-05-05,9922.25,1984.45,EUR,Dr
610773891,IN952993,Purple Plumbers Limited,V_PU001,2024-08-03,2024-08-10,2024-08-23,,961.75,192.35,USD,Dr
381728254,IN681933,Artic Apples Co.,V_AR001,2024-02-25,2024-03-07,2024-03-17,2024-04-13,700.82,140.16,EUR,Dr
749739125,IN875138,Artic Apples Co.,V_AR001,2024-05-15,2024-05-27,2024-06-22,2024-07-18,7479.96,1495.99,EUR,Dr
440429674,IN115847,Artic Apples Co.,V_AR001,2024-09-17,2024-09-18,2024-10-15,,6390.54,1278.11,EUR,Dr
150342662,IN202298,Purple Plumbers Limited,V_PU001,2024-06-13,2024-06-26,2024-07-11,2024-07-24,7237.25,1447.45,EUR,Dr
675344065,IN391934,Global Tech Solutions,V_GL001,2024-10-02,2024-10-17,2024-11-02,2024-11-03,1499.44,299.89,EUR,Dr
785963447,IN454807,Purple Plumbers Limited,V_PU001,2024-10-01,2024-10-02,2024-10-30,2024-11-07,-7324.18,-1464.84,EUR,Cr
994534475,IN687235,Blue Banana Inc.,V_BL001,2024-10-22,2024-10-31,2024-12-18,2024-12-27,2231.25,446.25,USD,Dr
426394235,IN321280,Blue Banana Inc.,V_BL001,2024-08-15,2024-08-28,2024-10-08,2024-10-15,938.04,187.61,EUR,Dr
234642619,IN521073,Global Tech Solutions,V_GL001,2024-05-13,2024-05-23,2024-06-04,2024-06-14,2656.57,531.31,EUR,Dr
696899965,IN837245,Artic Apples Co.,V_AR001,2024-01-15,2024-01-27,2024-03-13,2024-03-30,9802.18,1960.44,USD,Dr
216099674,IN597375,Global Tech Solutions,V_GL001,2024-01-11,2024-01-26,2024-03-06,2024-03-27,7361.45,1472.29,EUR,Dr
731399991,IN141422,Global Tech Solutions,V_GL001,2024-11-11,2024-11-13,2024-12-05,2024-12-07,9639.55,1927.91,EUR,Dr
691419417,IN234550,Artic Apples Co.,V_AR001,2024-06-23,2024-06-24,2024-07-16,2024-07-22,8425.11,1685.02,GBP,Dr
518813725,IN262413,Purple Plumbers Limited,V_PU001,2024-07-25,2024-08-06,2024-08-24,2024-08-25,7391.94,1478.39,EUR,Dr
978794305,IN363808,Global Tech Solutions,V_GL001,2024-07-16,2024-07-25,2024-08-02,2024-08-31,52.85,10.57,EUR,Dr
924814628,IN630118,Global Tech Solutions,V_GL001,2024-07-21,2024-07-29,2024-08-14,2024-08-19,5518.4,1103.68,EUR,Dr
311632154,IN257818,Artic Apples Co.,V_AR001,2024-08-10,2024-08-14,2024-08-30,2024-09-09,-1148.2,-229.64,GBP,Cr
997446005,IN815868,Artic Apples Co.,V_AR001,2024-07-26,2024-08-09,2024-08-24,2024-09-21,4937.89,987.58,GBP,Dr
668102332,IN218223,Purple Plumbers Limited,V_PU001,2024-07-24,2024-07-30,2024-09-12,,6290.81,1258.16,USD,Dr
731223197,IN594777,Blue Banana Inc.,V_BL001,2024-01-04,2024-01-09,2024-02-13,2024-02-29,2269.77,453.95,GBP,Dr
695095493,IN208489,Artic Apples Co.,V_AR001,2024-02-05,2024-02-10,2024-03-20,2024-04-03,8705.24,1741.05,USD,Dr
475711464,IN669012,Purple Plumbers Limited,V_PU001,2024-11-07,2024-11-14,2024-12-31,,2492.28,498.46,USD,Dr
765193783,IN104988,Purple Plumbers Limited,V_PU001,2024-06-01,2024-06-07,2024-06-28,,8543.77,1708.75,GBP,Dr
289562816,IN806783,Purple Plumbers Limited,V_PU001,2024-09-22,2024-10-04,2024-11-02,2024-11-03,1453.43,290.69,EUR,Dr
383047790,IN273738,Artic Apples Co.,V_AR001,2024-12-02,2024-12-09,2025-01-21,2025-01-29,8994.89,1798.98,EUR,Dr
904095972,IN342827,Artic Apples Co.,V_AR001,2024-06-16,2024-06-20,2024-08-09,,4866.34,973.27,EUR,Dr
451064353,IN889355,Artic Apples Co.,V_AR001,2024-05-06,2024-05-11,2024-06-04,2024-06-21,-7905.2,-1581.04,GBP,Cr
851450341,IN792880,Blue Banana Inc.,V_BL001,2024-11-28,2024-12-10,2024-12-23,,2623.27,524.65,EUR,Dr
961754518,IN160110,Global Tech Solutions,V_GL001,2023-12-10,2023-12-15,2024-01-12,2024-02-07,3844.36,768.87,GBP,Dr
286017874,IN531292,Artic Apples Co.,V_AR001,2023-12-19,2023-12-31,2024-01-30,2024-02-02,9588.99,1917.8,USD,Dr
243171441,IN202283,Artic Apples Co.,V_AR001,2024-09-09,2024-09-24,2024-11-06,,1072.73,214.55,EUR,Dr
503873384,IN704850,Blue Banana Inc.,V_BL001,2024-01-01,2024-01-01,2024-02-21,2024-03-08,5505.82,1101.16,EUR,Dr
165652013,IN649494,Global Tech Solutions,V_GL001,2024-11-03,2024-11-03,2024-12-12,2025-01-04,6669.24,1333.85,GBP,Dr
623301454,IN194678,Artic Apples Co.,V_AR001,2023-12-07,2023-12-15,2024-01-20,,1639.06,327.81,EUR,Dr
194882870,IN721152,Purple Plumbers Limited,V_PU001,2024-03-31,2024-04-11,2024-05-02,2024-05-24,7836.53,1567.31,USD,Dr
272050548,IN153300,Blue Banana Inc.,V_BL001,2024-06-01,2024-06-09,2024-07-29,2024-07-31,8135.12,1627.02,GBP,Dr
708137437,IN483247,Global Tech Solutions,V_GL001,2024-08-06,2024-08-15,2024-09-29,2024-10-18,9806.27,1961.25,GBP,Dr
855807289,IN881739,Purple Plumbers Limited,V_PU001,2024-05-19,2024-05-30,2024-07-15,2024-08-03,5237.89,1047.58,GBP,Dr
760347651,IN883968,Blue Banana Inc.,V_BL001,2024-09-16,2024-09-24,2024-10-17,2024-10-25,9045.4,1809.08,USD,Dr
227110760,IN142399,Blue Banana Inc.,V_BL001,2024-10-28,2024-11-07,2024-12-22,2025-01-16,1016.32,203.26,GBP,Dr
685543710,IN438815,Blue Banana Inc.,V_BL001,2024-11-11,2024-11-13,2024-12-09,2025-01-04,1897.58,379.52,USD,Dr
169490816,IN562557,Purple Plumbers Limited,V_PU001,2024-11-15,2024-11-28,2024-12-23,2024-12-23,7945.0,1589.0,USD,Dr
111207743,IN448323,Blue Banana Inc.,V_BL001,2024-07-18,2024-07-28,2024-09-14,2024-10-12,4410.41,882.08,USD,Dr
823368378,IN531595,Purple Plumbers Limited,V_PU001,2024-02-07,2024-02-11,2024-03-12,2024-04-04,8050.22,1610.04,EUR,Dr
536717457,IN353274,Blue Banana Inc.,V_BL001,2024-09-18,2024-09-23,2024-10-10,,-951.72,-190.34,USD,Cr
350577993,IN491804,Purple Plumbers Limited,V_PU001,2024-04-18,2024-05-03,2024-06-13,2024-06-26,8191.1,1638.22,GBP,Dr
418286336,IN809444,Blue Banana Inc.,V_BL001,2024-01-05,2024-01-09,2024-02-17,2024-03-08,-6231.28,-1246.26,USD,Cr
229609195,IN147481,Global Tech Solutions,V_GL001,2024-07-13,2024-07-24,2024-07-12,2024-09-11,8979.75,1795.95,USD,Dr
663848279,IN952192,Blue Banana Inc.,V_BL001,2024-01-24,2024-01-25,2024-03-01,2024-03-13,4180.52,836.1,GBP,Dr
424156632,IN112756,Artic Apples Co.,V_AR001,2024-03-20,2024-03-25,2024-05-12,,-5930.53,-1186.11,USD,Cr
425944513,IN935408,Purple Plumbers Limited,V_PU001,2024-11-20,2024-12-01,2025-01-08,2025-02-07,8314.97,1662.99,GBP,Dr
693823570,IN959355,Blue Banana Inc.,V_BL001,2024-01-17,2024-01-28,2024-03-08,2024-03-10,6399.85,1279.97,GBP,Dr
302552931,IN250355,Global Tech Solutions,V_GL001,2024-08-27,2024-09-02,2024-09-16,2024-10-13,-542.87,-108.57,USD,Cr
881618300,IN198771,Blue Banana Inc.,V_BL001,2024-09-06,2024-09-10,2024-11-05,2024-11-06,5004.84,1000.97,GBP,Dr
272534045,IN360138,Artic Apples Co.,V_AR001,2023-12-26,2024-01-01,2024-02-17,2024-03-07,1272.14,254.43,GBP,Dr
191100546,IN549639,Artic Apples Co.,V_AR001,2024-05-28,2024-05-29,2024-07-07,2024-07-25,3981.07,796.21,GBP,Dr
679602122,IN770013,Artic Apples Co.,V_AR001,2024-11-15,2024-11-17,2024-12-20,2024-12-25,3141.31,628.26,GBP,Dr
564534753,IN218389,Artic Apples Co.,V_AR001,2024-02-22,2024-02-25,2024-04-09,2024-04-09,9166.77,1833.35,EUR,Dr
654968793,IN372841,Blue Banana Inc.,V_BL001,2024-08-28,2024-08-30,2024-10-11,,2476.36,495.27,EUR,Dr
769708996,IN814272,Purple Plumbers Limited,V_PU001,2023-12-19,2023-12-21,2024-01-18,2024-01-18,6895.56,1379.11,EUR,Dr
476587063,IN125514,Blue Banana Inc.,V_BL001,2024-06-26,2024-07-02,2024-08-18,2024-08-18,5127.15,1025.43,USD,Dr
788634718,IN120801,Blue Banana Inc.,V_BL001,2024-03-26,2024-03-27,2024-05-14,2024-05-14,4989.5,997.9,USD,Dr
178726161,IN784941,Purple Plumbers Limited,V_PU001,2024-06-25,2024-06-29,2024-07-29,2024-07-31,2209.63,441.93,EUR,Dr
900049828,IN885668,Global Tech Solutions,V_GL001,2024-02-23,2024-03-03,2024-04-16,2024-05-06,5255.23,1051.05,USD,Dr
371123306,IN430164,Blue Banana Inc.,V_BL001,2024-05-15,2024-05-29,2024-07-13,2024-07-21,5109.11,1021.82,USD,Dr
397394446,IN798170,Global Tech Solutions,V_GL001,2023-12-16,2023-12-22,2024-01-27,2024-02-07,1441.27,288.25,USD,Dr
952886039,IN326885,Global Tech Solutions,V_GL001,2024-05-03,2024-05-16,2024-05-25,,-5025.14,-1005.03,USD,Cr
841823474,IN330128,Blue Banana Inc.,V_BL001,2024-07-26,2024-07-26,2024-08-26,2024-08-28,7084.17,1416.83,GBP,Dr
707522705,IN797153,Purple Plumbers Limited,V_PU001,2024-08-20,2024-08-20,2024-09-12,2024-09-17,7262.08,1452.42,GBP,Dr
327941900,IN483538,Blue Banana Inc.,V_BL001,2024-04-14,2024-04-16,2024-05-20,2024-06-08,4078.09,815.62,USD,Dr
784285642,IN355586,Artic Apples Co.,V_AR001,2023-12-26,2024-01-01,2024-02-11,,6249.05,1249.81,USD,Dr
144014595,IN944129,Purple Plumbers Limited,V_PU001,2024-07-27,2024-08-07,2024-08-27,2024-09-24,498.84,99.77,GBP,Dr
642869314,IN757921,Global Tech Solutions,V_GL001,2024-05-12,2024-05-17,2024-07-07,2024-07-31,2128.43,425.69,GBP,Dr
607243149,IN427362,Artic Apples Co.,V_AR001,2024-04-08,2024-04-17,2024-05-17,2024-05-31,1487.08,297.42,USD,Dr
206960694,IN634022,Purple Plumbers Limited,V_PU001,2024-01-29,2024-02-11,2024-02-14,2024-02-29,4796.63,959.33,EUR,Dr
600019948,IN722998,Blue Banana Inc.,V_BL001,2024-05-11,2024-05-22,2024-06-22,2024-07-01,9527.94,1905.59,USD,Dr
753682043,IN485736,Purple Plumbers Limited,V_PU001,2024-07-18,2024-07-30,2024-08-30,2024-09-18,4478.41,895.68,EUR,Dr
